i,X1,Y1,Z1,M1,X2,Y2,Z2,M2,XDIFF,YDIFF,ZDIFF,MDIFF,420,116,8
182,-1645,-1341,-938,2320.4,-1162,-1242,-915,1931.3,483,99,23,-389.0,,,
183,-1452,-1331,-906,2168.1,-990,-1225,-888,1808.1,462,106,18,-360.0,,,
184,-1212,-1520,-843,2119.0,-741,-1428,-806,1799.4,471,92,37,-319.5,,,
185,-1015,-1603,-955,2124.1,-570,-1505,-922,1854.7,445,98,33,-269.4,,,
186,-1035,-1582,-1053,2164.0,-555,-1477,-1027,1882.6,480,105,26,-281.3,,,
187,-1285,-1391,-1035,2158.1,-846,-1291,-993,1835.3,439,100,42,-322.8,,,
188,-1560,-1111,-990,2155.9,-1127,-996,-948,1777.9,433,115,42,-378.0,,,
189,-1735,-797,-891,2107.0,-1311,-671,-868,1709.5,424,126,23,-397.5,,,
190,-1795,-625,-825,2072.0,-1368,-507,-826,1676.5,427,118,-1,-395.5,,,
191,-1827,-577,-825,2086.0,-1411,-448,-803,1684.2,416,129,22,-401.8,,,
192,-1787,-661,-863,2091.7,-1343,-545,-828,1669.2,444,116,35,-422.5,,,
193,-1647,-802,-992,2083.2,-1207,-706,-977,1705.8,440,96,15,-377.4,,,
194,-1597,-907,-992,2087.4,-1155,-800,-967,1705.6,442,107,25,-381.8,,,
195,-1567,-905,-1012,2073.3,-1132,-802,-991,1704.9,435,103,21,-368.4,,,
196,-1552,-825,-1056,2050.5,-1110,-738,-1035,1687.6,442,87,21,-362.9,,,
197,-1552,-600,-1148,2021.5,-1112,-530,-1128,1670.3,440,70,20,-351.3,,,
198,-1590,-220,-1146,1972.3,-1177,-96,-1142,1642.8,413,124,4,-329.5,,,
199,-1567,93,-1160,1951.9,-1152,230,-1145,1640.4,415,137,15,-311.4,,,
200,-1685,331,-970,1972.2,-1260,468,-922,1629.9,425,137,48,-342.3,,,
201,-1775,515,-590,1940.1,-1393,658,-568,1642.0,382,143,22,-298.1,,,
202,-1802,580,-350,1925.1,-1426,716,-337,1630.9,376,136,13,-294.3,,,
203,-1880,396,-296,1943.9,-1498,560,-277,1623.1,382,164,19,-320.9,,,
204,-1922,167,-407,1971.7,-1538,315,-376,1614.3,384,148,31,-357.4,,,
205,-1930,-21,-627,2029.4,-1526,88,-618,1648.7,404,109,9,-380.7,,,
206,-1852,-237,-888,2067.5,-1456,-143,-895,1715.1,396,94,-7,-352.5,,,
207,-1705,-408,-1156,2100.0,-1298,-285,-1116,1735.4,407,123,40,-364.6,,,
208,-1552,-560,-1293,2096.2,-1130,-433,-1272,1755.7,422,127,21,-340.6,,,
209,-1390,-706,-1390,2088.7,-941,-610,-1381,1779.0,449,96,9,-309.7,,,
210,-1322,-726,-1400,2057.9,-878,-627,-1361,1736.8,444,99,39,-321.1,,,
211,-1302,-661,-1368,2000.9,-878,-542,-1358,1705.5,424,119,10,-295.4,,,
212,-1280,-600,-1372,1970.0,-828,-490,-1361,1666.7,452,110,11,-303.2,,,
213,-1307,-595,-1318,1949.2,-876,-480,-1296,1636.3,431,115,22,-312.9,,,
214,-1367,-492,-1257,1921.1,-948,-386,-1233,1602.5,419,106,24,-318.7,,,
215,-1467,-371,-1153,1902.4,-1045,-257,-1133,1562.6,422,114,20,-339.8,,,
216,-1532,-212,-1103,1899.6,-1117,-96,-1077,1554.6,415,116,26,-345.0,,,
217,-1617,-28,-1007,1905.1,-1210,83,-975,1556.2,407,111,32,-349.0,,,
218,-1750,98,-723,1896.0,-1343,242,-732,1548.6,407,144,-9,-347.4,,,
219,-1785,222,-523,1873.2,-1411,353,-525,1546.3,374,131,-2,-326.9,,,
220,-1822,242,-402,1881.4,-1431,388,-365,1526.9,391,146,37,-354.5,,,
221,-1827,252,-316,1871.2,-1433,391,-287,1512.9,394,139,29,-358.3,,,
222,-1827,230,-236,1856.5,-1433,376,-215,1497.0,394,146,21,-359.5,,,
223,-1817,200,-226,1841.9,-1421,348,-206,1477.4,396,148,20,-364.5,,,
224,-1807,151,-286,1835.7,-1403,297,-271,1459.5,404,146,15,-376.2,,,
225,-1807,78,-342,1840.7,-1406,195,-307,1452.3,401,117,35,-388.5,,,
226,-1807,1,-362,1842.9,-1406,128,-333,1450.6,401,127,29,-392.3,,,
227,-1797,-48,-365,1834.3,-1406,96,-352,1452.6,391,144,13,-381.8,,,
228,-1827,-88,-352,1862.7,-1421,33,-357,1465.5,406,121,-5,-397.1,,,
229,-1855,-185,-296,1887.6,-1448,-61,-285,1477.0,407,124,11,-410.5,,,
230,-1860,-220,-301,1897.0,-1471,-101,-292,1503.1,389,119,9,-393.9,,,
231,-1875,-300,-320,1925.6,-1471,-185,-307,1514.0,404,115,13,-411.6,,,
232,-1870,-333,-382,1937.5,-1468,-212,-368,1528.2,402,121,14,-409.3,,,
233,-1870,-346,-428,1949.3,-1456,-232,-427,1535.0,414,114,1,-414.4,,,
234,-1865,-356,-506,1964.9,-1451,-227,-490,1548.2,414,129,16,-416.7,,,
235,-1857,-333,-540,1962.4,-1448,-200,-525,1553.2,409,133,15,-409.2,,,
236,-1827,-341,-575,1945.5,-1433,-235,-556,1554.9,394,106,19,-390.5,,,
237,-1812,-356,-527,1920.4,-1421,-232,-532,1535.0,391,124,-5,-385.4,,,
238,-1817,-381,-476,1916.6,-1408,-267,-475,1509.8,409,114,1,-406.8,,,
239,-1800,-416,-433,1897.5,-1391,-300,-402,1478.7,409,116,31,-418.8,,,
240,-1762,-436,-395,1857.6,-1366,-315,-378,1451.9,396,121,17,-405.7,,,
241,-1752,-418,-372,1839.2,-1336,-305,-376,1421.0,416,113,-4,-418.2,,,
242,-1685,-371,-516,1800.9,-1275,-247,-530,1402.7,410,124,-14,-398.2,,,
243,-1560,-315,-817,1788.9,-1130,-200,-801,1399.5,430,115,16,-389.5,,,
244,-1320,-302,-1103,1746.5,-883,-185,-1077,1404.9,437,117,26,-341.6,,,
245,-932,-317,-1311,1639.5,-485,-230,-1290,1397.2,447,87,21,-242.2,,,
246,-475,-338,-1397,1513.8,-38,-245,-1361,1383.4,437,93,36,-130.4,,,
247,-37,-282,-1331,1361.0,415,-207,-1275,1356.7,452,75,56,-4.3,,,
248,302,-180,-1192,1242.8,761,-118,-1147,1381.5,459,62,45,138.8,,,
249,490,-165,-1063,1182.1,936,-91,-1020,1387.4,446,74,43,205.3,,,
250,640,-138,-931,1138.2,1090,-76,-881,1403.6,450,62,50,265.4,,,
251,735,-210,-830,1128.4,1182,-146,-782,1424.8,447,64,48,296.4,,,
252,732,-378,-851,1184.4,1180,-307,-797,1456.7,448,71,54,272.2,,,
253,565,-570,-1000,1282.2,997,-517,-933,1460.1,432,53,67,177.8,,,
254,320,-643,-1153,1358.4,753,-567,-1116,1460.8,433,76,37,102.4,,,
255,-27,-602,-1318,1449.2,390,-530,-1291,1449.0,417,72,27,-0.2,,,
256,-395,-416,-1402,1514.8,53,-323,-1381,1419.3,448,93,21,-95.6,,,
257,-632,-126,-1377,1520.3,-183,-26,-1366,1378.4,449,100,11,-141.9,,,
258,-772,160,-1311,1529.8,-335,265,-1262,1332.3,437,105,49,-197.5,,,
259,-785,500,-1158,1485.7,-387,585,-1121,1322.4,398,85,37,-163.3,,,
260,-737,766,-970,1439.0,-335,875,-926,1317.3,402,109,44,-121.7,,,
261,-640,973,-742,1380.9,-261,1088,-698,1318.7,379,115,44,-62.2,,,
262,-600,1108,-473,1345.9,-213,1210,-456,1310.5,387,102,17,-35.4,,,
263,-620,1172,-226,1345.0,-228,1286,-213,1323.3,392,114,13,-21.7,,,
264,-710,1152,1,1353.2,-342,1273,37,1318.7,368,121,36,-34.6,,,
265,-810,1088,238,1377.1,-455,1217,287,1330.6,355,129,49,-46.5,,,
266,-932,971,438,1415.4,-580,1096,458,1321.9,352,125,20,-93.5,,,
267,-965,847,592,1413.9,-605,973,618,1301.8,360,126,26,-112.1,,,
268,-1012,713,740,1442.3,-648,827,772,1303.8,364,114,32,-138.5,,,
269,-1015,570,876,1456.9,-641,683,897,1296.9,374,113,21,-160.0,,,
270,-1005,381,985,1457.9,-637,517,1011,1302.0,368,136,26,-155.9,,,
271,-947,177,1053,1427.2,-562,310,1073,1250.3,385,133,20,-176.9,,,
272,-895,-18,1017,1354.9,-545,113,1063,1199.9,350,131,46,-155.0,,,
273,-887,-250,938,1315.0,-507,-83,980,1106.5,380,167,42,-208.5,,,
274,-805,-398,807,1207.3,-420,-255,840,973.2,385,143,33,-234.2,,,
275,-692,-505,638,1068.1,-318,-378,636,805.3,374,127,-2,-262.8,,,
276,-632,-565,456,962.6,-271,-433,485,704.4,361,132,29,-258.2,,,
277,-640,-602,177,896.3,-248,-428,225,543.4,392,174,48,-352.9,,,
278,-750,-446,66,875.1,-335,-262,123,442.7,415,184,57,-432.4,,,
279,-860,-317,251,950.3,-430,-158,277,535.3,430,159,26,-415.0,,,
280,-982,-466,410,1161.7,-557,-312,456,784.6,425,154,46,-377.2,,,
281,-1107,-651,417,1350.2,-688,-535,462,986.4,419,116,45,-363.8,,,
282,-1205,-825,322,1495.4,-786,-673,347,1091.4,419,152,25,-404.0,,,
283,-1260,-887,233,1558.4,-831,-751,248,1147.2,429,136,15,-411.2,,,
284,-1255,-961,56,1581.7,-831,-835,92,1181.6,424,126,36,-400.0,,,
285,-1222,-986,-155,1577.8,-803,-882,-115,1198.3,419,104,40,-379.5,,,
286,-1160,-952,-335,1537.6,-748,-865,-307,1184.1,412,87,28,-353.5,,,
287,-1075,-920,-530,1510.9,-661,-817,-493,1160.8,414,103,37,-350.1,,,
288,-1065,-827,-615,1482.0,-625,-723,-595,1125.8,440,104,20,-356.2,,,
289,-1035,-703,-750,1458.7,-622,-625,-710,1132.1,413,78,40,-326.7,,,
290,-1035,-565,-837,1446.0,-617,-463,-821,1126.5,418,102,16,-319.5,,,
291,-1020,-418,-957,1459.8,-600,-321,-922,1145.9,420,97,35,-313.9,,,
292,-1092,-292,-1000,1509.2,-666,-202,-965,1189.8,426,90,35,-319.4,,,
293,-1175,-160,-1010,1557.7,-781,-41,-970,1246.0,394,119,40,-311.7,,,
294,-1257,-88,-1020,1621.2,-843,8,-972,1286.7,414,96,48,-334.5,,,
295,-1370,-56,-967,1677.8,-931,26,-952,1331.8,439,82,15,-346.0,,,
296,-1455,-83,-921,1724.0,-1025,31,-888,1356.5,430,114,33,-367.5,,,
297,-1462,-43,-908,1721.6,-1040,63,-866,1354.8,422,106,42,-366.7,,,
298,-1512,-1,-846,1732.6,-1082,111,-797,1348.4,430,112,49,-384.2,,,
299,-1562,165,-762,1745.8,-1135,280,-717,1371.4,427,115,45,-374.4,,,
300,-1577,371,-641,1742.3,-1167,522,-605,1414.4,410,151,36,-327.9,,,
301,-1547,600,-466,1723.5,-1150,736,-393,1420.8,397,136,73,-302.7,,,
